Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot5/0),-0.110999073,0.00000222,100000
,,,
Data,,,
Voltage,Time,,
0.22218702,-0.110999073,,
0.222721125,-0.110996853,,
0.222721125,-0.110994633,,
0.222454073,-0.110992413,,
0.221652915,-0.110990193,,
0.222721125,-0.110987973,,
0.222320546,-0.110985753,,
0.223522283,-0.110983533,,
0.222053494,-0.110981313,,
0.22218702,-0.110979093,,
0.222454073,-0.110976873,,
0.222854652,-0.110974653,,
0.222320546,-0.110972433,,
0.221919967,-0.110970213,,
0.222721125,-0.110967993,,
0.222320546,-0.110965773,,
0.22218702,-0.110963553,,
0.223388757,-0.110961333,,
0.222320546,-0.110959113,,
0.222988178,-0.110956893,,
0.221786441,-0.110954673,,
0.222988178,-0.110952453,,
0.222454073,-0.110950233,,
0.22218702,-0.110948013,,
0.22218702,-0.110945793,,
0.222320546,-0.110943573,,
0.221519389,-0.110941353,,
0.22111881,-0.110939133,,
0.221919967,-0.110936913,,
0.221652915,-0.110934693,,
0.221786441,-0.110932473,,
0.221385862,-0.110930253,,
0.220985283,-0.110928033,,
0.222053494,-0.110925813,,
0.221252336,-0.110923593,,
0.221519389,-0.110921373,,
0.220985283,-0.110919153,,
0.220851757,-0.110916933,,
0.220584704,-0.110914713,,
0.220184125,-0.110912493,,
0.22111881,-0.110910273,,
0.220584704,-0.110908053,,
0.220718231,-0.110905833,,
0.221519389,-0.110903613,,
0.220718231,-0.110901393,,
0.221252336,-0.110899173,,
0.220851757,-0.110896953,,
0.22111881,-0.110894733,,
0.220718231,-0.110892513,,
0.220851757,-0.110890293,,
0.220584704,-0.110888073,,
0.220451178,-0.110885853,,
0.220851757,-0.110883633,,
0.220451178,-0.110881413,,
0.220451178,-0.110879193,,
0.22111881,-0.110876973,,
0.221786441,-0.110874753,,
0.220184125,-0.110872533,,
0.220050599,-0.110870313,,
0.221519389,-0.110868093,,
0.220985283,-0.110865873,,
0.221385862,-0.110863653,,
0.22111881,-0.110861433,,
0.220985283,-0.110859213,,
0.221385862,-0.110856993,,
0.221385862,-0.110854773,,
0.22218702,-0.110852553,,
0.221519389,-0.110850333,,
0.220718231,-0.110848113,,
0.22111881,-0.110845893,,
0.220985283,-0.110843673,,
0.221252336,-0.110841453,,
0.221652915,-0.110839233,,
0.220718231,-0.110837013,,
0.220985283,-0.110834793,,
0.220718231,-0.110832573,,
0.220985283,-0.110830353,,
0.221919967,-0.110828133,,
0.221385862,-0.110825913,,
0.222454073,-0.110823693,,
0.221252336,-0.110821473,,
0.221652915,-0.110819253,,
0.221385862,-0.110817033,,
0.220851757,-0.110814813,,
0.22218702,-0.110812593,,
0.221786441,-0.110810373,,
0.221519389,-0.110808153,,
0.220451178,-0.110805933,,
0.220718231,-0.110803713,,
0.221252336,-0.110801493,,
0.222320546,-0.110799273,,
0.221385862,-0.110797053,,
0.220584704,-0.110794833,,
0.221786441,-0.110792613,,
0.221519389,-0.110790393,,
0.221519389,-0.110788173,,
0.221652915,-0.110785953,,
0.222587599,-0.110783733,,
0.220317652,-0.110781513,,
0.221252336,-0.110779293,,
0.220985283,-0.110777073,,
0.22111881,-0.110774853,,
0.221385862,-0.110772633,,
0.221519389,-0.110770413,,
0.22111881,-0.110768193,,
0.221385862,-0.110765973,,
0.223121704,-0.110763753,,
0.221919967,-0.110761533,,
0.22218702,-0.110759313,,
0.219917073,-0.110757093,,
0.221652915,-0.110754873,,
0.221652915,-0.110752653,,
0.221919967,-0.110750433,,
0.220584704,-0.110748213,,
