Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot3/0),-0.845496612,0.00001691,100000
Channel 1 (PXI1Slot3/1),-0.845496612,0.00001691,100000
,,,
Data,,,
Channel 0,Channel 1,Time,
-0.6587514,0.107752445,-0.845496612,
-0.662805004,0.102042075,-0.845479702,
-0.657400199,0.095659897,-0.845462792,
-0.662805004,0.093980376,-0.845445882,
-0.657400199,0.101034363,-0.845428972,
-0.666858609,0.098011226,-0.845412062,
-0.679019422,0.101034363,-0.845395152,
-0.664156206,0.102042075,-0.845378242,
-0.64929299,0.097003513,-0.845361332,
-0.650644191,0.103385691,-0.845344422,
-0.64929299,0.097003513,-0.845327512,
-0.657400199,0.099354842,-0.845310602,
-0.645239386,0.094316281,-0.845293692,
-0.650644191,0.104729308,-0.845276782,
-0.670912213,0.091629048,-0.845259872,
-0.660102601,0.093980376,-0.845242962,
-0.665507407,0.097003513,-0.845226052,
-0.650644191,0.104729308,-0.845209142,
-0.66820981,0.101034363,-0.845192232,
-0.656048997,0.103385691,-0.845175322,
-0.650644191,0.097003513,-0.845158412,
-0.661453803,0.099354842,-0.845141502,
-0.642536983,0.092972664,-0.845124592,
-0.64929299,0.106072924,-0.845107682,
-0.650644191,0.099690746,-0.845090772,
-0.674965817,0.099354842,-0.845073862,
-0.647941788,0.09834713,-0.845056952,
-0.660102601,0.098011226,-0.845040042,
-0.666858609,0.102377979,-0.845023132,
-0.647941788,0.095323993,-0.845006222,
-0.645239386,0.09834713,-0.844989312,
-0.645239386,0.091293144,-0.844972402,
-0.637132177,0.101034363,-0.844955492,
-0.660102601,0.095323993,-0.844938582,
-0.656048997,0.094316281,-0.844921672,
-0.641185781,0.096667609,-0.844904762,
-0.637132177,0.103721595,-0.844887852,
-0.633078573,0.098011226,-0.844870942,
-0.665507407,0.103721595,-0.844854032,
-0.638483378,0.099354842,-0.844837122,
-0.635780975,0.101034363,-0.844820212,
-0.641185781,0.100698458,-0.844803302,
-0.643888184,0.092972664,-0.844786392,
-0.633078573,0.096667609,-0.844769482,
-0.643888184,0.095659897,-0.844752572,
-0.638483378,0.099354842,-0.844735662,
-0.635780975,0.092972664,-0.844718752,
-0.633078573,0.088605911,-0.844701842,
-0.633078573,0.101034363,-0.844684932,
-0.674965817,0.102042075,-0.844668022,
-0.6587514,0.09834713,-0.844651112,
-0.646590587,0.158473964,-0.844634202,
-0.683073026,0.097003513,-0.844617292,
-0.665507407,0.098011226,-0.844600382,
-0.662805004,0.102377979,-0.844583472,
-0.674965817,0.096667609,-0.844566562,
